assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,3,54,1,0,13.4,3,123,0.02,1.43,1.41,0.19,7,0,2,14.5,72.8,2026-08-23T13:00:00Z,63,False,2,0,0,0,1,0,1,0,39219,1,2,0,4,59.0,16,0,0,0,60,True,0
0,0,0,0,0,0.0,0,123,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2026-08-30T13:00:00Z,0,False,6,0,0,0,0,0,2,0,230171,0,0,3,4,0.0,0,101743,139828,38085,60,False,0
0,0,0,0,0,0.0,0,123,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,13,0,0,0,0,0,3,0,129183,0,0,1,1,0.0,0,-92072,6623,98695,60,True,0
0,0,0,0,0,0.0,0,123,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2026-09-13T13:00:00Z,0,False,7,0,0,0,0,0,4,0,91458,0,0,5,0,0.0,0,-44735,1042,45777,60,False,0
0,0,0,0,0,0.0,0,123,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2026-09-19T14:00:00Z,0,False,1,0,0,0,0,0,5,0,66553,0,0,0,3,0.0,0,-26541,128,26669,59,True,0
