assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,0,0,32.1,2,545,0.03,0.09,0.06,1.80,5,2,0,7.2,14.6,2026-08-22T14:00:00Z,90,False,12,0,0,0,2,0,1,0,32634,1,0,1,2,25.0,2,0,0,0,50,False,0
0,0,21,1,6,7.8,11,545,0.02,0.04,0.02,0.95,19,0,0,3.2,18.4,2026-08-30T13:00:00Z,90,False,10,0,0,0,2,0,2,0,32341,1,3,0,1,6.0,3,-2332,1165,3497,50,True,0
0,0,16,0,0,15.0,3,545,0.18,0.46,0.28,0.82,22,1,0,7.2,8.8,2026-09-05T14:00:00Z,73,False,4,0,0,0,3,0,3,0,29609,1,0,1,1,48.0,1,-3063,1887,4950,50,False,1
0,0,11,0,4,1.3,10,545,0.00,0.04,0.04,1.88,36,2,0,1.3,11.0,2026-09-12T19:00:00Z,90,False,1,0,0,0,3,0,4,0,26156,1,3,2,0,1.0,2,-3819,1090,4909,49,True,0
0,0,9,0,1,0.0,3,545,0.01,0.05,0.04,1.02,45,4,0,0.0,0.0,2026-09-20T13:00:00Z,67,False,15,0,0,0,2,0,5,0,24166,1,0,3,5,0.0,2,-2498,1171,3669,49,False,0
