assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,300,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,47085,0,0,1,2,0.0,0,0,0,0,45,True,0
0,0,0,0,0,0.0,0,300,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2026-08-30T15:30:00Z,0,False,16,0,0,0,0,0,2,0,48759,0,0,2,5,0.0,0,-4363,209,4572,45,False,0
0,0,0,0,0,0.0,0,300,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,14,0,0,0,0,0,3,0,44862,0,0,2,0,0.0,0,-4114,350,4464,45,True,0
0,0,0,0,0,0.0,0,300,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2026-09-12T14:00:00Z,0,False,8,0,0,0,0,0,4,0,42889,0,0,3,2,0.0,0,-2408,363,2771,44,False,0
0,0,10,0,2,0.0,0,300,0.01,0.01,0.00,2.31,43,1,0,0.0,0.0,2026-09-19T14:00:00Z,90,False,9,0,0,0,17,0,5,1,41812,1,0,0,1,0.0,2,-1343,763,2106,44,False,0
