assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,6,0,1,14.6,1,379,0.01,1.10,1.09,1.58,9,2,0,9.2,11.4,2026-08-23T15:30:00Z,90,False,17,0,0,0,0,0,1,0,1493302,1,0,2,2,66.0,2,0,0,0,90,False,0
0,2,30,0,0,10.3,1,379,0.00,0.99,0.99,2.30,14,2,1,9.2,34.0,2026-08-29T11:30:00Z,90,False,18,0,0,0,0,0,2,0,1629014,1,1,2,2,48.0,8,-28097,73036,101133,90,True,0
0,3,61,1,1,6.4,3,379,0.05,0.26,0.21,0.58,21,0,2,10.7,67.0,2026-09-04T19:00:00Z,63,False,12,0,0,0,2,0,3,0,1811350,1,0,2,0,34.0,13,-25262,181587,206849,90,False,0
0,0,5,1,0,2.8,1,379,0.00,0.50,0.50,0.70,35,0,0,3.2,1.2,2026-09-12T14:00:00Z,90,False,10,0,0,0,1,0,4,0,2626358,1,0,0,0,28.0,2,623585,732640,109055,91,True,0
0,0,0,0,0,0.0,0,379,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,3,0,0,0,0,0,5,0,2350302,0,0,,,0.0,0,-103033,139899,242932,91,False,0
