assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,8,1,3,2.2,10,286,0.03,0.08,0.05,1.83,4,0,0,2.0,10.6,2026-08-22T11:30:00Z,90,False,16,0,0,0,3,0,1,0,40446,1,4,0,2,7.0,3,0,0,0,50,True,0
1,0,23,1,3,12.1,10,286,0.02,0.14,0.12,1.11,13,0,0,4.6,23.2,2026-08-29T14:00:00Z,82,False,7,0,0,0,5,0,2,0,63814,1,2,1,0,11.0,6,9859,13890,4031,50,False,0
0,0,15,1,8,12.4,12,286,0.01,0.04,0.03,1.93,25,0,0,4.5,22.8,2026-09-05T16:30:00Z,81,False,2,0,0,0,1,0,3,0,88726,1,3,0,0,10.0,5,16123,26562,10439,50,True,0
0,2,43,0,0,11.7,1,286,0.06,0.23,0.17,0.26,33,1,2,11.1,68.2,2026-09-12T14:00:00Z,59,False,6,0,0,0,0,0,4,0,107667,1,1,2,2,31.0,13,14908,26566,11658,50,False,0
1,0,24,0,0,0.0,11,286,0.14,0.39,0.25,1.37,46,2,0,0.0,0.0,2026-09-19T14:00:00Z,82,False,17,0,0,0,5,0,5,0,497698,1,6,1,2,0.0,4,329008,362918,33910,51,False,1
