assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,2,31,0,2,31.4,13,544,0.09,0.09,0.00,1.80,5,2,0,5.0,18.8,2026-08-22T14:00:00Z,90,False,12,0,0,0,8,0,1,0,392611,1,3,1,2,0.0,9,0,0,0,55,False,0
0,3,29,1,1,57.9,7,544,0.36,0.36,0.00,0.95,19,0,0,7.8,20.4,2026-08-30T13:00:00Z,90,False,10,0,0,0,6,0,2,0,464299,1,0,0,1,0.0,6,24566,42781,18215,55,True,0
0,0,12,0,4,20.5,15,544,0.12,0.18,0.06,1.21,22,1,0,3.9,15.2,2026-09-05T14:00:00Z,90,False,4,0,0,0,9,0,3,0,475519,1,2,1,1,3.0,3,-1951,45125,47076,55,False,1
0,0,19,0,2,44.0,11,544,0.37,0.37,0.00,1.88,36,2,0,5.9,14.6,2026-09-12T19:00:00Z,90,False,1,0,0,0,8,0,4,0,442948,1,1,2,0,0.0,1,-37779,23504,61283,55,True,1
0,0,25,0,3,0.0,8,544,0.38,0.38,0.00,2.82,45,5,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,15,0,0,0,2,0,5,0,405611,1,3,3,5,0.0,2,-45393,13122,58515,55,False,0
