assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,440,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,0,1,0,56060,0,0,0,2,0.0,0,0,0,0,55,False,0
0,0,0,0,0,0.0,0,440,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2026-08-30T15:30:00Z,0,False,12,0,0,0,0,0,2,0,51589,0,0,2,5,0.0,0,-11086,2045,13131,55,True,0
0,0,0,0,0,0.0,0,440,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2026-09-06T13:00:00Z,0,False,9,0,0,0,0,0,3,0,47734,0,0,2,2,0.0,0,-7291,5615,12906,54,False,0
0,0,4,0,1,4.8,3,440,0.01,0.01,0.00,0.02,39,0,0,0.9,4.4,2026-09-13T15:30:00Z,7,False,15,0,0,0,2,0,4,0,45127,0,0,1,0,0.0,1,-4849,3614,8463,54,True,0
0,0,4,0,1,0.0,1,440,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2026-09-20T15:30:00Z,13,False,10,0,0,0,0,0,5,0,43505,0,0,1,1,0.0,1,-3447,2606,6053,54,False,0
