assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,0,34.9,8,105,0.35,0.38,0.03,0.10,2,0,0,4.7,10.6,2026-08-22T16:30:00Z,23,False,19,0,0,0,6,0,1,0,14244,0,2,0,3,1.0,1,0,0,0,60,True,0
0,0,4,1,0,25.9,1,105,0.06,0.17,0.11,0.09,17,0,0,4.4,3.2,2026-08-30T13:00:00Z,60,False,13,0,0,0,1,0,2,0,16949,1,0,1,1,15.0,2,-433,1958,2391,60,False,1
0,0,3,0,0,2.2,4,105,0.01,0.06,0.05,1.36,22,1,0,0.4,0.0,2026-09-05T14:00:00Z,45,False,20,0,0,0,4,0,3,0,16152,0,0,1,1,3.0,1,-1707,1644,3351,60,True,0
0,0,12,0,5,15.3,11,105,0.10,0.10,0.00,1.25,32,2,0,3.2,14.6,2026-09-12T14:00:00Z,59,False,3,0,0,0,4,0,4,0,14724,1,2,2,2,2.0,1,-1801,761,2562,60,False,0
0,2,31,1,1,0.0,2,105,0.02,0.98,0.96,0.70,41,0,1,0.0,0.0,2026-09-18T19:00:00Z,80,False,6,0,0,0,1,0,5,0,13639,1,0,0,3,0.0,10,-1462,635,2097,59,True,0
