assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,1,11.3,1,67,0.03,0.07,0.04,2.06,8,1,0,3.5,6.2,2026-08-23T13:00:00Z,88,False,15,0,0,0,0,0,1,0,242374,1,0,1,2,17.0,2,0,0,0,65,False,0
0,0,4,0,1,3.5,5,67,0.02,0.42,0.40,1.84,12,1,0,5.6,8.6,2026-08-29T14:00:00Z,90,False,9,0,0,0,3,0,2,0,276541,1,1,1,1,44.0,2,1501,23680,22179,65,True,0
0,0,8,0,1,0.9,2,67,0.01,0.05,0.04,0.66,27,2,0,1.3,1.6,2026-09-05T11:30:00Z,88,False,17,0,0,0,0,0,3,0,230133,1,1,2,2,10.0,2,-48316,11708,60024,65,False,0
0,0,7,0,2,17.8,3,67,0.02,0.41,0.39,0.39,32,2,0,4.3,5.6,2026-09-12T14:00:00Z,81,False,4,0,0,0,0,0,4,0,202880,1,1,2,2,20.0,2,-33384,8549,41933,64,True,0
0,0,0,0,0,0.0,0,67,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,14,0,0,0,0,0,5,0,173374,0,0,,,0.0,0,-30627,4733,35360,64,True,0
