assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,10,1,3,6.4,6,13,0.08,0.15,0.07,0.06,1,0,0,1.5,6.8,2026-08-21T19:00:00Z,67,False,7,0,0,0,3,0,1,0,1604406,1,0,0,3,2.0,3,0,0,0,75,True,0
0,0,19,1,2,27.6,12,13,0.10,0.10,0.00,0.33,20,0,0,5.2,24.0,2026-08-31T19:00:00Z,84,False,2,0,0,0,7,0,2,0,1662633,1,3,1,0,0.0,5,-122235,35487,157722,75,False,0
1,0,22,0,5,19.9,6,13,0.08,0.11,0.03,0.39,29,1,0,5.6,33.8,2026-09-06T15:30:00Z,90,False,6,0,0,0,1,0,3,0,1465517,1,0,1,2,2.0,5,-227106,21785,248891,75,True,0
1,0,27,1,6,36.4,10,13,0.37,0.37,0.00,1.41,36,0,0,8.1,45.0,2026-09-12T19:00:00Z,80,False,20,0,0,0,2,0,4,0,1379844,1,2,2,0,0.0,6,-126667,25889,152556,74,False,0
0,0,13,0,1,0.0,6,13,0.04,0.06,0.02,1.33,42,3,0,0.0,0.0,2026-09-19T14:00:00Z,90,False,5,0,0,0,3,0,5,0,1344452,1,2,0,3,0.0,1,-54820,28685,83505,74,False,1
