assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,5,0,0,10.8,1,642,0.04,0.04,0.00,0.12,25,0,0,1.4,3.2,2026-09-05T16:30:00Z,27,False,2,0,0,0,1,0,3,0,569,0,0,0,0,0.0,1,388,446,58,55,True,0
0,0,6,0,0,14.8,4,642,0.03,0.05,0.02,0.64,33,1,0,2.4,5.6,2026-09-12T14:00:00Z,30,False,6,0,0,0,4,0,4,0,1526,0,0,2,2,4.0,1,606,883,277,55,False,0
0,0,4,0,0,0.0,3,642,0.04,0.21,0.17,1.34,46,2,0,0.0,0.0,2026-09-19T14:00:00Z,62,False,17,0,0,0,2,0,5,0,2637,1,1,1,2,0.0,2,761,1275,514,55,False,0
