assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,5,1.3,7,61,0.00,0.00,0.00,2.25,8,2,0,1.7,15.4,2026-08-23T13:00:00Z,90,False,15,0,0,0,7,0,1,0,392050,1,2,1,2,0.0,1,0,0,0,55,False,0
0,2,27,0,7,23.7,9,61,0.07,0.07,0.00,1.84,12,1,0,5.6,27.8,2026-08-29T14:00:00Z,90,False,9,0,0,0,6,0,2,0,417325,1,2,1,1,4.0,4,-5220,20601,25821,55,True,0
0,0,-3,0,3,15.7,6,61,0.06,0.07,0.01,0.71,27,2,0,2.8,10.2,2026-09-05T11:30:00Z,90,False,17,0,0,0,5,0,3,0,387734,1,3,2,2,2.0,0,-30205,11879,42084,55,False,1
0,0,23,0,8,18.0,16,61,0.10,0.18,0.08,0.50,32,2,0,8.5,38.6,2026-09-12T14:00:00Z,90,False,4,0,0,0,3,0,4,0,362027,1,8,2,2,28.0,3,-33011,12869,45880,55,True,0
0,0,6,0,5,0.0,7,61,0.06,0.08,0.02,1.65,49,1,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,14,0,0,0,3,0,5,0,334232,1,2,1,0,0.0,2,-27978,6520,34498,55,True,0
