assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,533,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,12,0,0,0,0,0,1,0,257772,0,0,1,2,0.0,0,0,0,0,55,False,0
0,1,28,1,17,8.0,19,533,0.01,0.01,0.00,0.95,19,0,0,5.3,42.6,2026-08-30T13:00:00Z,90,False,10,0,0,0,4,0,2,0,244003,1,2,0,1,2.0,9,-32999,5588,38587,55,True,0
0,0,16,0,10,5.0,14,533,0.02,0.02,0.00,1.21,22,1,0,3.7,32.4,2026-09-05T14:00:00Z,90,False,4,0,0,0,6,0,3,0,247977,1,4,1,1,0.0,4,-3387,21418,24805,55,False,0
0,0,-5,0,3,4.9,6,533,0.02,0.72,0.70,1.88,36,2,0,6.1,10.4,2026-09-12T19:00:00Z,90,False,1,0,0,0,3,0,4,0,227847,1,3,2,0,46.0,0,-21852,6912,28764,55,True,1
0,0,5,0,5,0.0,9,533,0.23,0.28,0.05,2.82,45,5,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,15,0,0,0,3,0,5,0,207085,1,4,3,5,0.0,0,-23536,5413,28949,54,False,0
