assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,1,0,56.9,5,124,0.27,0.27,0.00,0.29,7,0,0,8.6,21.0,2026-08-23T13:00:00Z,90,False,2,0,0,0,2,0,1,0,1308033,1,3,0,4,8.0,2,0,0,0,55,True,1
1,3,46,0,2,33.2,6,124,0.11,0.16,0.05,2.93,16,4,1,10.4,47.8,2026-08-30T13:00:00Z,90,False,6,0,0,0,3,0,2,0,1268429,1,1,3,4,23.0,13,-81694,24179,105873,55,False,0
0,0,-1,0,2,16.5,4,124,0.04,0.83,0.79,2.49,23,1,0,3.2,0.0,2026-09-05T14:00:00Z,90,False,13,0,0,0,2,0,3,0,1691790,1,0,1,1,19.0,1,341111,448315,107204,55,True,1
2,3,56,1,2,79.1,6,124,0.19,1.01,0.82,1.33,38,0,1,18.1,83.8,2026-09-13T13:00:00Z,90,False,7,0,0,0,2,0,4,0,1745184,1,2,5,0,18.0,17,72242,283590,211348,56,False,0
1,3,49,1,3,0.0,5,124,0.25,0.36,0.11,1.57,42,0,1,0.0,0.0,2026-09-19T14:00:00Z,90,False,1,0,0,0,1,0,5,0,2264407,1,1,0,3,0.0,14,499051,604409,105358,57,True,0
