assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,25,1,0,0.0,0,109,0.00,0.00,0.00,0.29,7,0,0,0.7,6.6,2026-08-23T13:00:00Z,90,False,2,0,0,0,4,0,1,0,1987586,1,0,0,4,0.0,6,0,0,0,45,True,0
0,0,-1,0,0,0.0,0,109,0.00,0.00,0.00,2.93,16,4,0,1.0,10.2,2026-08-30T13:00:00Z,90,False,6,0,0,0,14,0,2,1,2133814,1,0,3,4,0.0,0,39276,84756,45480,45,False,0
0,0,17,0,0,3.0,0,109,0.20,0.20,0.00,2.49,23,1,0,3.2,29.2,2026-09-05T14:00:00Z,90,False,13,0,0,0,5,0,3,3,2293721,1,0,1,1,0.0,3,114050,270948,156898,45,True,0
0,0,39,1,3,0.0,0,109,0.00,0.00,0.00,1.33,38,0,0,4.8,47.8,2026-09-13T13:00:00Z,90,False,7,0,0,0,7,0,4,6,2390519,1,0,5,0,0.0,8,51727,248699,196972,45,False,0
0,1,27,1,0,0.0,0,109,0.00,0.00,0.00,1.57,42,0,0,0.0,0.0,2026-09-19T14:00:00Z,90,False,1,0,0,0,4,0,5,2,2292499,1,0,0,3,0.0,7,-47432,89072,136504,45,True,0
