assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,5,0,0,10.5,0,627,0.07,0.07,0.00,0.17,21,0,0,1.6,3.0,2026-09-04T19:00:00Z,26,False,12,0,0,0,0,0,3,0,145340,0,0,2,0,2.0,1,116172,135788,19616,80,False,0
0,0,9,1,0,13.6,5,627,0.03,0.24,0.21,0.60,35,0,0,2.7,5.6,2026-09-12T14:00:00Z,71,False,10,0,0,0,2,0,4,0,238639,1,3,0,0,8.0,3,70941,116804,45863,80,True,0
0,0,0,0,0,0.0,0,627,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,3,0,0,0,0,0,5,0,203917,0,0,,,0.0,0,-20897,24870,45767,80,False,0
