assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,0,26,0,2,16.0,11,371,0.05,0.11,0.06,1.10,9,2,0,4.4,24.4,2026-08-23T15:30:00Z,77,False,17,0,0,0,8,0,1,0,172067,1,1,2,2,4.0,5,0,0,0,60,False,0
0,0,7,0,0,12.1,1,371,0.01,0.01,0.00,0.07,14,0,0,1.7,4.4,2026-08-29T11:30:00Z,19,False,18,0,0,0,0,0,2,0,196536,0,1,2,2,0.0,1,-178,15005,15183,60,True,0
0,0,2,0,1,1.7,2,371,0.00,0.00,0.00,0.17,21,0,0,0.4,2.2,2026-09-04T19:00:00Z,26,False,12,0,0,0,1,0,3,0,168420,0,0,2,0,0.0,1,-34196,10774,44970,60,False,0
0,0,13,0,7,11.4,10,371,0.01,0.05,0.04,0.54,35,0,0,3.3,19.6,2026-09-12T14:00:00Z,59,False,10,0,0,0,1,0,4,0,140580,1,2,0,0,2.0,1,-33117,5155,38272,59,True,0
0,0,0,0,0,0.0,0,371,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,3,0,0,0,0,0,5,0,124836,0,0,,,0.0,0,-19324,3604,22928,59,False,0
