assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,14,0,4,3.7,7,184,0.01,0.01,0.00,1.88,1,3,0,1.7,13.4,2026-08-21T19:00:00Z,90,False,1,0,0,0,3,0,1,0,17412,1,0,0,3,0.0,2,0,0,0,50,False,0
0,0,14,0,1,20.9,10,184,0.04,0.05,0.01,0.72,13,1,0,3.7,14.2,2026-08-29T14:00:00Z,90,False,11,0,0,0,9,0,2,0,20154,1,0,1,0,2.0,2,674,2290,1616,50,True,0
0,0,8,0,3,2.3,8,184,0.00,0.04,0.04,2.12,26,1,0,2.2,18.6,2026-09-05T14:00:00Z,90,False,15,0,0,0,0,0,3,0,16127,1,5,0,1,1.0,2,-3443,481,3924,50,False,0
0,0,9,0,1,5.8,3,184,0.02,0.07,0.05,2.60,38,4,0,1.3,5.6,2026-09-13T13:00:00Z,83,False,5,0,0,0,1,0,4,0,14585,1,1,5,0,2.0,2,-2101,532,2633,50,True,0
0,0,17,1,4,0.0,10,184,0.06,0.08,0.02,1.10,47,0,0,0.0,0.0,2026-09-19T16:30:00Z,90,False,18,0,0,0,3,0,5,0,13370,1,3,1,0,0.0,3,-1624,594,2218,49,False,0
