assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,20,0,0,0.7,0,643,0.00,0.15,0.15,0.57,24,0,1,5.1,33.2,2026-09-05T14:00:00Z,16,False,10,0,0,0,0,0,3,0,984,0,0,3,2,17.0,7,679,763,84,45,False,0
0,0,1,0,1,3.5,1,643,0.01,0.13,0.12,0.55,34,1,0,0.8,0.2,2026-09-12T14:00:00Z,13,False,12,0,0,0,0,0,4,0,62478,0,0,3,2,4.0,1,32853,38522,5669,45,True,0
0,0,0,0,0,0.0,0,643,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,13,0,0,0,0,0,5,0,50011,0,0,,,0.0,0,-6188,3269,9457,45,False,0
