assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,0,1,0,5936,0,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2026-08-30T13:00:00Z,0,False,4,0,0,0,0,0,2,0,5489,0,0,1,1,0.0,0,-726,325,1051,45,True,0
0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,5,0,0,0,0,0,3,0,5679,0,0,1,1,0.0,0,-135,947,1082,45,False,0
0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2026-09-14T19:00:00Z,0,False,17,0,0,0,0,0,4,0,5498,0,0,1,4,0.0,0,-257,775,1032,45,True,0
0,0,0,0,0,0.0,0,349,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2026-09-20T13:00:00Z,0,False,8,0,0,0,0,0,5,0,5721,0,0,,,0.0,0,-70,739,809,45,True,0
